country,score,gdp_per_capita,social_support,life_expectancy,freedom,generosity,corruption
Czech Republic,0.9862496307354394,0.8256651666960041,0.7907800910513458,0.8684335953117528,0.23242694424986252,-1.0296055117991407,-0.9739054250327044
Uruguay,0.9687825364368925,0.5346357624923531,0.7998486679453052,0.7339415262869736,1.1613367191060469,-0.038643161217048104,0.8510763778545472
Colombia,0.9617956987174736,0.1797793333129096,0.9146928320113069,0.24490521270695334,0.7037169300355907,-0.42061439066318046,-0.7682971401095904
Thailand,0.9425818949890715,0.2995697350261239,1.005966039130258,0.43808325828482636,0.8495766017839755,2.675965348940525,-0.9293347473852708
Saudi Arabia,0.9041542875322672,1.3625514090399888,0.3410227349744532,0.36421987400248407,-0.7839455455127691,-0.791218838327903,1.514721271573156
Spain,0.8325392009082239,0.9525006034240362,1.1849511094057568,1.3168349292646657,0.2050201906410894,-0.4343492519823844,-0.6618273718228239
Malta,0.808958623605185,0.8961651297668173,1.141774403222375,1.0399585391958983,1.1615357996407352,2.211979631502135,-0.0629974074681463
Taiwan,0.8054652047454759,1.103497533477533,0.3125319832752149,0.9917550922478052,-0.2071428763421767,0.12996410187386706,-0.5176183194719687
Kuwait,0.8028451406006938,1.7565028212594043,0.642121516785604,0.38312080576130825,0.838627172376112,-0.5921422851840413,0.9386348492703465
Suriname,0.7801379180125826,0.3701193110195764,-0.06992698637809137,-0.08928106894745612,1.1145527934542674,-0.5319141289394869,-0.05908185260939982
Trinidad and Tobago,0.6919290918049192,0.9071543921314793,0.7067397165158354,-0.06244741208214496,0.8641758409944599,0.6405220502222004,-1.099869657935358
El Salvador,0.6587416126376794,-0.20241381624093088,0.12491891474028174,0.19067127575443943,-0.16666316762219693,-1.0291318958915818,-0.21378792436880942
Guatemala,0.6526281296331881,-0.24957089920983133,0.1928047393432353,0.056624410689717984,0.9868758105407582,0.29675583731914074,-0.4057334221252336
Uzbekistan,0.5478255638419048,-0.530107170275216,1.282759566270152,-0.1316968644147952,1.5235969320607476,-0.07045436300807757,1.3732614385912079
